"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","284 Komo Mai St 10262312301","380-69055-1"
"MWHResult","380-69055-1","HI0000214","","10/31/2023","155300","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","284 Komo Mai St 10262312301","380-69055-1"
