"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61231-1","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","132000","",""
"MWHSample","380-61231-10","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","120000","",""
"MWHSample","380-61231-11","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","124500","",""
"MWHSample","380-61231-12","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","122500","",""
"MWHSample","380-61231-13","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","130500","",""
"MWHSample","380-61231-14","380-61231-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/29/2023","094000","",""
"MWHSample","380-61231-2","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","134000","",""
"MWHSample","380-61231-3","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","104000","",""
"MWHSample","380-61231-4","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","105500","",""
"MWHSample","380-61231-5","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","094000","",""
"MWHSample","380-61231-6","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","100000","",""
"MWHSample","380-61231-7","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","102500","",""
"MWHSample","380-61231-8","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","111500","",""
"MWHSample","380-61231-9","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","114500","",""
