"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61366-1","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","102600","",""
"MWHSample","380-61366-10","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","125200","",""
"MWHSample","380-61366-11","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","011200","",""
"MWHSample","380-61366-12","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","012800","",""
"MWHSample","380-61366-13","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","014500","",""
"MWHSample","380-61366-14","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","005000","",""
"MWHSample","380-61366-15","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","092800","",""
"MWHSample","380-61366-16","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","095700","",""
"MWHSample","380-61366-17","380-61366-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/21/2023","011200","",""
"MWHSample","380-61366-2","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","104500","",""
"MWHSample","380-61366-3","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","105800","",""
"MWHSample","380-61366-4","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","111100","",""
"MWHSample","380-61366-5","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","113200","",""
"MWHSample","380-61366-6","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","115300","",""
"MWHSample","380-61366-7","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","120800","",""
"MWHSample","380-61366-8","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","022400","",""
"MWHSample","380-61366-9","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","123900","",""
