"source","object_id","original_location_str","site","no_samples","results","street_name","street_suffix","notes","geometry"
"Hydrant Water Samples",1,"WEST AIPUNI PLACE, LAHAINA","333",2,"Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect)","WEST AIPUNI","PL",NA,c(-156.6837146, 20.9016317)
"Hydrant Water Samples",7,"AIPUNI STREET, LAHAINA","339",2,"Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect)","AIPUNI","ST",NA,c(-156.6812244, 20.9002134)
"Hydrant Water Samples",9,"EAST AIPUNI STREET, LAHAINA","341",2,"Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect)","EAST AIPUNI","ST",NA,c(-156.6797044, 20.9000334)
"Hydrant Water Samples",11,"KANIAU ROAD, LAHAINA","192",2,"Sample Date: 8/14/2023 <br> Contaminant: TOLUENE, ETHYLBENZENE <br> Detection limit: both Less than 0.5 μg/L <br> MCL: 1000 μg/L  and 700 μg/L, respectively   <br> Result: trace amounts but ND (Non-detect)  <p> Sample Date: 8/16/2023 <br> Lab Sample ID: 380-59598-8 <br> Analyte: Benzene, Toluene and Ethylbenzene <br> Result: 0.22, 0.19, and 0.11, respectively <br> Qualifier: all ""J"" <br> RL: 0.50 ug/L for all <br> MDL: 0.12 ug/L, 0.057 ug/L, and 0.11 ug/L, respectively","KANIAU","RD",NA,c(-156.6814244, 20.8992734)
"Hydrant Water Samples",19,"KAHAKO STREET, LAHAINA","163",6,"<p> Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/27/23 <br> Sample ID: 380-64848-1 <br> Analyte: Nitrate as N <br> Result: 0.14 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 2/20/24 <br> Sample ID: DS_163_0220_VOC_1 <br> Laboratory ID: 2402031-03 <br> Reporting value: All VOCs are ND (Non-detect)  <p> Sample Date: 3/1/24 <br> Station ID: DS_163_0301_SVOC_1 <br> Laboratory ID: 2403009-02 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 3/5/24 <br> Station ID: DC_163_0305_VOC_1 <br> Laboratory ID: 2403011-02 <br> Reporting value: All VOCs are ND (Non-detect)","KAHAKO","ST",NA,c(-156.6703444, 20.8841134)
"Hydrant Water Samples",30,"KUIALUA STREET, LAHAINA","270",2,"Sample Date: 8/14/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/16/2023 <br> Reporting value: All VOCs are ND (Non-detect)","KUIALUA","ST",NA,c(-156.6658344, 20.8867534)
"Hydrant Water Samples",39,"ALANUILILI PLACE, KULA","496",3,"<p> Sample Date: 8/18/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60457-5 <br> Analyte: Dichloromethane <br> Result: 1.9 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63204-1 <br> Analyte: Nitrate as N <br> Result: 0.092 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","ALANUILILI","PL",NA,c(-156.3046652, 20.7755783)
"Hydrant Water Samples",42,"HALEAKALA HWY, KULA","631",6,"<p> Sample Date: 8/18/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 08/21/2023 <br> Lab Sample ID: 380-60457-3 <br> Analyte: Dichloromethane <br> Result: 1.6 - refer to case narrative <br> RL: 0.50 ug/L <p> Sample Date: 8/31/2023  <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/20/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63119-3 <br> Analyte: Nitrate as N <br> Result: 0.089 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/26/23 <br> Sample ID: 380-64660-7 <br> Analyte: Nitrate as N <br> Result: 0.096 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","HALEAKALA","HWY",NA,c(-156.3075345, 20.7745752)
"Hydrant Water Samples",43,"KULALANI DRIVE, KULA","57",3,"<p> Sample Date: 8/18/2023 <br> Contaminant: BENZENE <br> Detection limit: Less than 0.5 μg/L <br> MCL: 5 μg/L  <br> Result: trace amounts but ND (Non-detect)   <p> Sample Date: 8/31/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63200-1 <br> Analyte: Nitrate as N <br> Result: 0.090 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","KULALANI","DR",NA,c(-156.3082209, 20.774362)
"Hydrant Water Samples",44,"KULALANI DRIVE, KULA","56",4,"<p> Sample Date: 8/18/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/21/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 8/31/2023 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 9/13/2023 <br> Sample ID: 380-63200-2 <br> Analyte: Nitrate as N <br> Result: 0.098 mg/L <br> RL: 0.050 <br> for Total metals see attached  <br> Reporting value: All VOCs are ND (Non-detect)","KULALANI","DR",NA,c(-156.3092443, 20.7744633)
